,Country,Transportation Mode,Order Type,Fulfillment Method,Product Category,Vendor Incoterm,Reason Code,Reason Code Duration,Item Tracer Category,Illustrative Price,Ordered Quantity,Shipped Quantity,TLP Indicator,Deliver,Process PO/DO,USAID Approval,RO Validation,Sourcing and Planning,Manufacture,Pick Up,Quality Assurance,Estimated Lead Time in Days,Estimated Lead Time in Days,Average Days Late,Estimated Lead Time in Days,Estimated Lead Time in Days,Order Cycle Time
24679,El Salvador,Air,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-17.0,Laboratory,75.0,2,2,GSC,15.0,244.0,3.0,0.0,19.0,75.0,28.0,-63.5,497.0,497.0,0.0,497.0,497.0,558
24684,Zambia,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-28135.0,Laboratory,52.0,516,516,DCP,15.0,36.0,0.0,105.0,33.0,356.0,28.0,-63.5,70.0,70.0,0.0,70.0,70.0,531
24685,Haiti,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-67.0,Laboratory,36.21,25,25,DCP,15.0,45.0,3.0,0.0,8.0,0.0,28.0,-63.5,112.0,112.0,0.0,112.0,112.0,57
24686,El Salvador,Air,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-17.0,Laboratory,60.0,1,1,GSC,15.0,244.0,3.0,0.0,19.0,75.0,28.0,-63.5,497.0,497.0,0.0,497.0,497.0,558
24699,El Salvador,Air,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-17.0,Laboratory,110.0,2,2,GSC,15.0,244.0,3.0,0.0,19.0,75.0,28.0,-63.5,497.0,497.0,0.0,497.0,497.0,558
24722,Haiti,Air,Purchase Order,Direct Drop,Laboratory Consumables,EXW,AD,-200.0,Laboratory,39.21,10,10,DCP,24.0,29.0,0.0,0.0,72.0,47.0,1.0,-63.5,301.0,301.0,0.0,301.0,301.0,174
24748,Tanzania,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-25.0,Laboratory,18.0,25,25,GSC,15.0,9.0,1.0,0.0,10.0,75.0,28.0,-63.5,28.0,28.0,0.0,28.0,28.0,51
24756,Haiti,Air,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-15.0,Laboratory,120.0,48,48,DCP,15.0,26.0,1.0,0.0,35.0,75.0,28.0,-63.5,147.0,147.0,0.0,147.0,147.0,267
24758,Burkina Faso,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-28478.0,Laboratory,216.0,1,1,GSC,15.0,55.0,0.0,84.0,93.0,75.0,28.0,-63.5,105.0,105.0,0.0,105.0,105.0,301
24761,Haiti,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-40.0,Laboratory,5.1,155,155,DCP,15.0,19.0,1.0,31.0,44.0,11.0,28.0,-63.5,70.0,70.0,0.0,70.0,70.0,107
24763,Nigeria,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-40.0,Laboratory,4.51,171,171,DCP,15.0,19.0,1.0,4.0,72.0,-15.0,28.0,-63.5,21.0,21.0,0.0,21.0,21.0,83
24764,Zambia,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,22.0,Laboratory,204.2,274,274,DCP,15.0,50.0,0.0,35.0,14.0,75.0,28.0,-63.5,77.0,77.0,0.0,77.0,77.0,277
24769,Haiti,Land,Purchase Order,Direct Drop,Laboratory Equipment,DDP,AD,-62.0,Laboratory,161.6,2,2,DCP,19.0,26.0,1.0,0.0,84.0,-4.0,34.5,13.0,84.0,84.0,0.0,84.0,84.0,157
24772,Zambia,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-28355.0,Laboratory,204.2,329,329,DCP,15.0,50.0,0.0,35.0,14.0,130.0,28.0,-63.5,77.0,77.0,0.0,77.0,77.0,230
24773,El Salvador,Air,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-17.0,Laboratory,280.0,20,20,GSC,15.0,244.0,3.0,0.0,19.0,75.0,28.0,-63.5,497.0,497.0,0.0,497.0,497.0,558
24779,Nigeria,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,AD,-28311.0,Other Pharma,7.99,1262,1262,GSC,31.0,322.0,10.0,11.0,116.0,-3.0,36.0,35.0,210.0,210.0,0.0,210.0,210.0,467
24784,Zimbabwe,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-26.0,Laboratory,137.0,146,146,DCP,15.0,24.0,0.0,1.0,5.0,20.0,28.0,-63.5,70.0,70.0,0.0,70.0,70.0,51
24787,Kenya,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-54.0,Laboratory,52.0,178,178,GSC,15.0,28.0,2.0,168.0,13.0,86.0,28.0,-63.5,168.0,168.0,0.0,168.0,168.0,298
24788,Zimbabwe,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-69.0,Laboratory,52.0,1000,1000,DCP,15.0,29.0,7.0,17.0,12.0,68.0,28.0,-63.5,84.0,84.0,0.0,84.0,84.0,134
24789,Burkina Faso,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-28478.0,Laboratory,130.0,2,2,GSC,15.0,55.0,0.0,84.0,93.0,75.0,28.0,-63.5,105.0,105.0,0.0,105.0,105.0,301
24796,Tanzania,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-28285.0,Laboratory,155.0,58,58,GSC,15.0,43.0,0.0,75.0,84.0,314.0,28.0,-63.5,133.0,133.0,0.0,133.0,133.0,458
24801,Nigeria,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,AD,-48.0,Other Pharma,6.67,3835,3835,GSC,31.0,31.0,10.0,11.0,116.0,39.0,36.0,35.0,126.0,126.0,0.0,126.0,126.0,216
24803,Tanzania,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-25.0,Laboratory,273.0,13,13,GSC,15.0,9.0,1.0,0.0,10.0,75.0,28.0,-63.5,28.0,28.0,0.0,28.0,28.0,51
24804,Nigeria,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-84.0,Laboratory,63.0,10,10,DCP,15.0,90.0,0.0,14.0,10.0,14.0,28.0,-63.5,84.0,84.0,0.0,84.0,84.0,129
24817,Kenya,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-54.0,Laboratory,198.0,45,45,GSC,15.0,28.0,2.0,168.0,13.0,86.0,28.0,-63.5,168.0,168.0,0.0,168.0,168.0,298
24819,Nigeria,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-84.0,Laboratory,178.0,5,5,DCP,15.0,90.0,0.0,14.0,10.0,14.0,28.0,-63.5,84.0,84.0,0.0,84.0,84.0,129
24820,Kenya,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-54.0,Laboratory,55.0,119,119,GSC,15.0,28.0,2.0,168.0,13.0,86.0,28.0,-63.5,168.0,168.0,0.0,168.0,168.0,298
24830,Congo DRC,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-34.0,Laboratory,55.0,70,70,GSC,15.0,56.0,0.0,21.0,47.0,75.0,28.0,-63.5,84.0,84.0,0.0,84.0,84.0,181
24842,Ethiopia,Air,Purchase Order,Direct Drop,Laboratory Consumables,CIP,AD,-40.0,Laboratory,155.0,24,24,DCP,26.0,50.0,5.0,1.0,63.0,63.0,-11.0,-63.5,168.0,168.0,0.0,168.0,168.0,198
24844,Nigeria,Land,Purchase Order,Direct Drop,Laboratory Equipment,DDP,AD,-49.0,Laboratory,216.13,3,3,DCP,19.0,2.0,0.0,7.0,76.0,56.0,34.5,13.0,14.0,14.0,0.0,14.0,14.0,49
24859,Nigeria,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,20.0,Laboratory,137.0,15,15,DCP,15.0,90.0,0.0,14.0,10.0,14.0,28.0,-63.5,84.0,84.0,0.0,84.0,84.0,129
24860,El Salvador,Air,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-17.0,Laboratory,280.0,2,2,GSC,15.0,244.0,3.0,0.0,19.0,75.0,28.0,-63.5,497.0,497.0,0.0,497.0,497.0,558
24869,Congo DRC,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-34.0,Laboratory,198.0,22,22,GSC,15.0,56.0,0.0,21.0,47.0,75.0,28.0,-63.5,84.0,84.0,0.0,84.0,84.0,181
24874,Tanzania,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-25.0,Laboratory,130.0,31,31,GSC,15.0,9.0,1.0,0.0,10.0,75.0,28.0,-63.5,28.0,28.0,0.0,28.0,28.0,51
24876,El Salvador,Air,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-21.0,Laboratory,44.0,6,6,GSC,15.0,244.0,3.0,0.0,19.0,75.0,28.0,-63.5,252.0,252.0,0.0,252.0,252.0,310
24877,Burkina Faso,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-28381.0,Laboratory,204.0,17,17,GSC,15.0,55.0,0.0,84.0,93.0,165.0,28.0,-63.5,105.0,105.0,0.0,105.0,105.0,398
24879,Haiti,Air,Purchase Order,Direct Drop,Laboratory Equipment,DDP,AD,-15.0,Laboratory,24.51,3,3,DCP,19.0,26.0,1.0,0.0,84.0,56.0,34.5,13.0,147.0,147.0,0.0,147.0,147.0,267
24880,Nigeria,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-27.0,Laboratory,137.0,58,58,DCP,15.0,13.0,0.0,3.0,26.0,30.0,28.0,-63.5,70.0,70.0,0.0,70.0,70.0,73
24881,Nigeria,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-84.0,Laboratory,137.0,35,35,DCP,15.0,90.0,0.0,14.0,10.0,14.0,28.0,-63.5,84.0,84.0,0.0,84.0,84.0,129
24884,Nigeria,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-20.0,Laboratory,137.0,18,18,DCP,15.0,13.0,0.0,3.0,26.0,30.0,28.0,-63.5,63.0,63.0,0.0,63.0,63.0,73
24889,Nigeria,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-20.0,Laboratory,63.0,9,9,DCP,15.0,13.0,0.0,3.0,26.0,30.0,28.0,-63.5,63.0,63.0,0.0,63.0,63.0,73
24890,Haiti,Air,Purchase Order,Direct Drop,Laboratory Equipment,DDP,AD,-15.0,Laboratory,765.0,2,2,DCP,19.0,26.0,1.0,0.0,84.0,56.0,34.5,13.0,147.0,147.0,0.0,147.0,147.0,267
24900,Zimbabwe,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-69.0,Laboratory,55.0,560,560,DCP,15.0,29.0,7.0,17.0,12.0,68.0,28.0,-63.5,84.0,84.0,0.0,84.0,84.0,134
24901,Haiti,Air,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-15.0,Laboratory,39.4,80,80,DCP,15.0,26.0,1.0,0.0,35.0,75.0,28.0,-63.5,147.0,147.0,0.0,147.0,147.0,267
24902,Nigeria,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,AD,-28338.0,Other Pharma,59.66,3300,3300,GSC,31.0,302.0,10.0,11.0,116.0,-106.0,36.0,35.0,210.0,210.0,0.0,210.0,210.0,440
24905,Zimbabwe,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-69.0,Laboratory,55.0,400,400,DCP,15.0,29.0,7.0,17.0,12.0,68.0,28.0,-63.5,84.0,84.0,0.0,84.0,84.0,134
24906,Congo DRC,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-33.0,Laboratory,198.0,16,16,GSC,15.0,19.0,1.0,0.0,84.0,75.0,28.0,-63.5,84.0,84.0,0.0,84.0,84.0,236
24908,Eswatini,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-33.0,Laboratory,55.0,159,159,GSC,15.0,34.0,4.0,83.0,113.0,94.0,28.0,-63.5,161.0,161.0,0.0,161.0,161.0,329
24923,El Salvador,Air,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-21.0,Laboratory,110.0,4,4,GSC,15.0,244.0,3.0,0.0,19.0,75.0,28.0,-63.5,252.0,252.0,0.0,252.0,252.0,310
24931,Zimbabwe,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-26.0,Laboratory,104.0,20,20,DCP,15.0,24.0,0.0,1.0,5.0,20.0,28.0,-63.5,70.0,70.0,0.0,70.0,70.0,51
24935,Nigeria,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,AD,-77.0,Other Pharma,10.53,2000,2000,GSC,31.0,31.0,10.0,11.0,116.0,112.0,36.0,35.0,210.0,210.0,0.0,210.0,210.0,299
24947,Nigeria,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-27.0,Laboratory,63.0,29,29,DCP,15.0,13.0,0.0,3.0,26.0,30.0,28.0,-63.5,70.0,70.0,0.0,70.0,70.0,73
24948,Zambia,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-23.0,Laboratory,0.01,24,24,DCP,15.0,23.0,1.0,21.0,0.0,41.0,28.0,-63.5,84.0,84.0,0.0,84.0,84.0,87
24949,Zambia,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-28135.0,Laboratory,198.0,129,129,DCP,15.0,36.0,0.0,105.0,33.0,356.0,28.0,-63.5,70.0,70.0,0.0,70.0,70.0,531
24950,Nigeria,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-16.0,Laboratory,4.51,199,199,DCP,15.0,19.0,1.0,4.0,72.0,-15.0,28.0,-63.5,21.0,21.0,0.0,21.0,21.0,83
24952,Eswatini,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-79.0,Laboratory,137.0,66,66,GSC,15.0,14.0,1.0,2.0,15.0,75.0,28.0,-63.5,126.0,126.0,0.0,126.0,126.0,66
24955,Zimbabwe,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-69.0,Laboratory,260.0,747,747,DCP,15.0,29.0,7.0,17.0,12.0,68.0,28.0,-63.5,84.0,84.0,0.0,84.0,84.0,134
24962,Zambia,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-28259.0,Laboratory,18.0,27,27,DCP,15.0,36.0,0.0,104.0,34.0,232.0,28.0,-63.5,140.0,140.0,0.0,140.0,140.0,407
24965,El Salvador,Air,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-17.0,Laboratory,250.0,1,1,GSC,15.0,244.0,3.0,0.0,19.0,75.0,28.0,-63.5,497.0,497.0,0.0,497.0,497.0,558
24966,Burkina Faso,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-28373.0,Laboratory,18.0,9,9,GSC,15.0,55.0,0.0,84.0,93.0,173.0,28.0,-63.5,105.0,105.0,0.0,105.0,105.0,406
24970,Tanzania,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-25.0,Laboratory,216.0,25,25,GSC,15.0,9.0,1.0,0.0,10.0,75.0,28.0,-63.5,28.0,28.0,0.0,28.0,28.0,51
24979,Tanzania,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-28285.0,Laboratory,216.0,58,58,GSC,15.0,43.0,0.0,75.0,84.0,314.0,28.0,-63.5,133.0,133.0,0.0,133.0,133.0,458
24980,El Salvador,Air,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-21.0,Laboratory,250.0,1,1,GSC,15.0,244.0,3.0,0.0,19.0,75.0,28.0,-63.5,252.0,252.0,0.0,252.0,252.0,310
24981,Zambia,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,9.0,Laboratory,204.2,300,300,DCP,15.0,50.0,0.0,35.0,14.0,78.0,28.0,-63.5,77.0,77.0,0.0,77.0,77.0,178
24983,Kenya,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-54.0,Laboratory,260.0,178,178,GSC,15.0,28.0,2.0,168.0,13.0,86.0,28.0,-63.5,168.0,168.0,0.0,168.0,168.0,298
24987,Eswatini,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-79.0,Laboratory,63.0,33,33,GSC,15.0,14.0,1.0,2.0,15.0,75.0,28.0,-63.5,126.0,126.0,0.0,126.0,126.0,66
24990,Ethiopia,Air,Purchase Order,Direct Drop,Laboratory Consumables,CIP,AD,-80.0,Laboratory,55.0,140,140,DCP,7.0,10.0,1.0,1.0,22.0,48.0,-2.0,-63.5,119.0,119.0,0.0,119.0,119.0,88
24993,El Salvador,Air,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-21.0,Laboratory,75.0,1,1,GSC,15.0,244.0,3.0,0.0,19.0,75.0,28.0,-63.5,252.0,252.0,0.0,252.0,252.0,310
24994,Eswatini,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-79.0,Laboratory,104.0,9,9,GSC,15.0,14.0,1.0,2.0,15.0,75.0,28.0,-63.5,126.0,126.0,0.0,126.0,126.0,66
25010,Zambia,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,15.0,Laboratory,74.5,1750,1750,DCP,15.0,50.0,0.0,35.0,14.0,75.0,28.0,-63.5,147.0,147.0,0.0,147.0,147.0,277
25015,Haiti,Air,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-15.0,Laboratory,82.55,80,80,DCP,15.0,26.0,1.0,0.0,35.0,75.0,28.0,-63.5,147.0,147.0,0.0,147.0,147.0,267
25016,Haiti,Air,Purchase Order,Direct Drop,Laboratory Equipment,EXW,AD,18.0,Laboratory,4764.25,1,1,DCP,19.0,38.0,0.0,0.0,49.0,50.0,-19.0,13.0,70.0,70.0,0.0,70.0,70.0,138
25024,Zambia,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,29.0,Laboratory,74.5,1005,1005,DCP,15.0,50.0,0.0,35.0,14.0,126.0,28.0,-63.5,147.0,147.0,0.0,147.0,147.0,226
25034,Zimbabwe,Air,Purchase Order,Direct Drop,Laboratory Consumables,FCA NETHERLANDS,AD,-27986.0,Laboratory,43.0,34,34,DCP,10.0,55.0,0.0,8.0,7.0,155.0,26.0,-63.5,161.0,161.0,0.0,161.0,161.0,262
25035,Nigeria,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,AD,16.0,Other Pharma,2.14,2000,2000,GSC,31.0,31.0,10.0,11.0,116.0,166.0,36.0,35.0,210.0,210.0,0.0,210.0,210.0,378
25052,Tanzania,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-28285.0,Laboratory,18.0,58,58,GSC,15.0,43.0,0.0,75.0,84.0,314.0,28.0,-63.5,133.0,133.0,0.0,133.0,133.0,458
25054,Congo DRC,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-34.0,Laboratory,52.0,90,90,GSC,15.0,56.0,0.0,21.0,47.0,75.0,28.0,-63.5,84.0,84.0,0.0,84.0,84.0,181
25055,Zambia,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-18.0,Laboratory,204.0,503,503,DCP,15.0,18.0,1.0,111.0,26.0,69.0,28.0,-63.5,105.0,105.0,0.0,105.0,105.0,226
25060,Nigeria,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-26.0,Laboratory,44.16,4,4,DCP,15.0,8.0,0.0,7.0,76.0,75.0,28.0,-63.5,70.0,70.0,0.0,70.0,70.0,128
25065,Eswatini,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-33.0,Laboratory,52.0,239,239,GSC,15.0,34.0,4.0,83.0,113.0,94.0,28.0,-63.5,161.0,161.0,0.0,161.0,161.0,329
25066,Zimbabwe,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-69.0,Laboratory,198.0,350,350,DCP,15.0,29.0,7.0,17.0,12.0,68.0,28.0,-63.5,84.0,84.0,0.0,84.0,84.0,134
25068,El Salvador,Air,Purchase Order,Direct Drop,Laboratory Consumables,DDP,SD,-258.0,Laboratory,280.0,4,4,GSC,15.0,244.0,3.0,0.0,19.0,75.0,28.0,-63.5,252.0,252.0,0.0,252.0,252.0,310
25069,Tanzania,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-25.0,Laboratory,204.0,452,452,GSC,15.0,9.0,1.0,0.0,10.0,75.0,28.0,-63.5,28.0,28.0,0.0,28.0,28.0,51
25070,Eswatini,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-33.0,Laboratory,198.0,66,66,GSC,15.0,34.0,4.0,83.0,113.0,94.0,28.0,-63.5,161.0,161.0,0.0,161.0,161.0,329
25080,Haiti,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,AD,89.0,Other Pharma,7.57,56,56,GSC,31.0,57.0,0.0,3.0,143.0,72.0,36.0,35.0,210.0,210.0,0.0,210.0,210.0,397
25081,Zambia,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,29.0,Laboratory,74.5,1500,1500,DCP,15.0,50.0,0.0,35.0,14.0,126.0,28.0,-63.5,147.0,147.0,0.0,147.0,147.0,226
25082,Haiti,Air,Purchase Order,Direct Drop,Laboratory Equipment,CIP,AD,-28.0,Laboratory,183.6,4,4,DCP,19.0,14.0,1.0,-71.0,72.0,138.0,34.5,13.0,154.0,154.0,0.0,154.0,154.0,129
25088,Burkina Faso,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-28478.0,Laboratory,273.0,1,1,GSC,15.0,55.0,0.0,84.0,93.0,75.0,28.0,-63.5,105.0,105.0,0.0,105.0,105.0,301
25093,El Salvador,Air,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-21.0,Laboratory,60.0,2,2,GSC,15.0,244.0,3.0,0.0,19.0,75.0,28.0,-63.5,252.0,252.0,0.0,252.0,252.0,310
25097,Nigeria,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-17.0,Laboratory,4.51,213,213,DCP,15.0,16.0,1.0,2.0,72.0,-12.0,28.0,-63.5,21.0,21.0,0.0,21.0,21.0,80
25098,Nigeria,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,AD,-28400.0,Other Pharma,7.99,1738,1738,GSC,31.0,31.0,10.0,11.0,116.0,182.0,36.0,35.0,126.0,126.0,0.0,126.0,126.0,378
25100,Haiti,Air,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-36.0,Laboratory,128.0,50,50,DCP,15.0,26.0,1.0,0.0,35.0,75.0,28.0,-63.5,168.0,168.0,0.0,168.0,168.0,267
25102,Nigeria,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,AD,-28414.0,Other Pharma,2.06,199239,199239,GSC,31.0,31.0,10.0,11.0,116.0,165.0,36.0,35.0,126.0,126.0,0.0,126.0,126.0,394
25113,Haiti,Air,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-15.0,Laboratory,145.0,80,80,DCP,15.0,26.0,1.0,0.0,35.0,75.0,28.0,-63.5,147.0,147.0,0.0,147.0,147.0,267
25114,Nigeria,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-49.0,Laboratory,44.16,4,4,DCP,15.0,8.0,0.0,7.0,76.0,75.0,28.0,-63.5,14.0,14.0,0.0,14.0,14.0,49
25117,Eswatini,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-33.0,Laboratory,260.0,239,239,GSC,15.0,34.0,4.0,83.0,113.0,94.0,28.0,-63.5,161.0,161.0,0.0,161.0,161.0,329
25127,Zimbabwe,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-26.0,Laboratory,63.0,73,73,DCP,15.0,24.0,0.0,1.0,5.0,20.0,28.0,-63.5,70.0,70.0,0.0,70.0,70.0,51
25129,Tanzania,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-28285.0,Laboratory,130.0,72,72,GSC,15.0,43.0,0.0,75.0,84.0,314.0,28.0,-63.5,133.0,133.0,0.0,133.0,133.0,458
25130,Haiti,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-119.0,Laboratory,7.9,986,986,DCP,15.0,64.0,2.0,0.0,55.0,24.0,28.0,-63.5,140.0,140.0,0.0,140.0,140.0,146
25133,Nigeria,Land,Purchase Order,Direct Drop,Laboratory Equipment,DDP,AD,-26.0,Laboratory,216.13,3,3,DCP,19.0,2.0,0.0,7.0,76.0,56.0,34.5,13.0,70.0,70.0,0.0,70.0,70.0,128
25142,El Salvador,Air,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-21.0,Laboratory,280.0,32,32,GSC,15.0,244.0,3.0,0.0,19.0,75.0,28.0,-63.5,252.0,252.0,0.0,252.0,252.0,310
25143,Burkina Faso,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-28478.0,Laboratory,155.0,2,2,GSC,15.0,55.0,0.0,84.0,93.0,75.0,28.0,-63.5,105.0,105.0,0.0,105.0,105.0,301
25144,Nigeria,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-20.0,Laboratory,178.0,6,6,DCP,15.0,13.0,0.0,3.0,26.0,30.0,28.0,-63.5,63.0,63.0,0.0,63.0,63.0,73
25152,Haiti,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-26.0,Other Non-Pharma,330.0,18,18,DCP,15.0,1.0,0.0,15.0,22.0,57.0,28.0,-63.5,84.0,84.0,0.0,84.0,84.0,96
25153,Ethiopia,Air,Purchase Order,Direct Drop,Laboratory Consumables,CIP,AD,-53.0,Laboratory,216.0,20,20,DCP,11.0,35.0,18.0,1.0,22.0,72.0,4.0,-63.5,133.0,133.0,0.0,133.0,133.0,164
25156,Zimbabwe,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-26.0,Laboratory,178.0,37,37,DCP,15.0,24.0,0.0,1.0,5.0,20.0,28.0,-63.5,70.0,70.0,0.0,70.0,70.0,51
25159,Nigeria,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,AD,-31.0,Other Pharma,1.0,213621,213621,GSC,31.0,31.0,10.0,11.0,116.0,61.0,36.0,35.0,133.0,133.0,0.0,133.0,133.0,240
25165,Congo DRC,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-34.0,Laboratory,260.0,90,90,GSC,15.0,56.0,0.0,21.0,47.0,75.0,28.0,-63.5,84.0,84.0,0.0,84.0,84.0,181
25168,Eswatini,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-79.0,Laboratory,178.0,20,20,GSC,15.0,14.0,1.0,2.0,15.0,75.0,28.0,-63.5,126.0,126.0,0.0,126.0,126.0,66
25170,Zambia,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,AD,-22.0,Laboratory,0.01,12,12,DCP,15.0,23.0,1.0,21.0,0.0,42.0,28.0,-63.5,84.0,84.0,0.0,84.0,84.0,88
25174,Ethiopia,Air,Purchase Order,Direct Drop,Laboratory Consumables,CIP,AD,-40.0,Laboratory,52.0,222,222,DCP,26.0,50.0,5.0,1.0,63.0,63.0,-11.0,-63.5,168.0,168.0,0.0,168.0,168.0,198
25175,Haiti,Land,Purchase Order,Direct Drop,Laboratory Equipment,DDP,AD,-62.0,Laboratory,150.0,2,2,DCP,19.0,26.0,1.0,0.0,84.0,56.0,34.5,13.0,84.0,84.0,0.0,84.0,84.0,157
25176,El Salvador,Air,Purchase Order,Direct Drop,Laboratory Consumables,DDP,AD,-17.0,Laboratory,44.0,3,3,GSC,15.0,244.0,3.0,0.0,19.0,75.0,28.0,-63.5,497.0,497.0,0.0,497.0,497.0,558
